epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6446.81,0.20982,0.16205,0.8331,0.9978,0.9628,0.9804,0.97865,0.12511,0.09437,0.82882,0.008614,0.008614,0.008614
44,6595.91,0.20764,0.16104,0.83192,0.99764,0.96314,0.9806,0.97887,0.12477,0.0936,0.82912,0.008581,0.008581,0.008581
45,6743.3,0.20463,0.16032,0.832,0.9975,0.96379,0.98059,0.97896,0.12398,0.09246,0.82908,0.008548,0.008548,0.008548
46,6892.63,0.21504,0.16237,0.84773,0.99721,0.96405,0.98065,0.97901,0.12365,0.09245,0.82913,0.008515,0.008515,0.008515
47,7041.61,0.20588,0.15802,0.8337,0.99688,0.9641,0.98098,0.97927,0.12358,0.0924,0.8295,0.008482,0.008482,0.008482
48,7189.29,0.20383,0.15832,0.83108,0.99658,0.96422,0.98107,0.97935,0.12353,0.09228,0.8299,0.008449,0.008449,0.008449
49,7339.01,0.20432,0.15953,0.83116,0.99577,0.96426,0.98102,0.9793,0.12349,0.09256,0.83016,0.008416,0.008416,0.008416
50,7486.9,0.20151,0.15621,0.83086,0.99471,0.96454,0.9811,0.97937,0.12337,0.0923,0.8302,0.008383,0.008383,0.008383
51,7635.21,0.20559,0.16199,0.8319,0.99377,0.9648,0.98126,0.97952,0.12326,0.09223,0.8303,0.00835,0.00835,0.00835
52,7784.95,0.1996,0.1586,0.83182,0.99351,0.96446,0.9813,0.97959,0.12305,0.09209,0.83046,0.008317,0.008317,0.008317
53,7932.48,0.20122,0.15682,0.83377,0.99337,0.96438,0.98133,0.97958,0.12287,0.09186,0.83041,0.008284,0.008284,0.008284
54,8081.47,0.19987,0.15811,0.83023,0.99344,0.96429,0.98135,0.9796,0.12261,0.09152,0.83034,0.008251,0.008251,0.008251
