epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,6585.54,0.21427,0.15139,0.80002,0.99999,1,0.995,0.99499,0.10637,0.07435,0.76104,0.008515,0.008515,0.008515
47,6727.87,0.21423,0.14955,0.79982,0.99999,1,0.995,0.99499,0.10614,0.07443,0.76104,0.008482,0.008482,0.008482
48,6870.14,0.2138,0.14841,0.79922,0.99999,1,0.995,0.99498,0.10589,0.07423,0.76091,0.008449,0.008449,0.008449
49,7012.39,0.21521,0.14904,0.79948,0.99999,1,0.995,0.99499,0.10557,0.07383,0.76085,0.008416,0.008416,0.008416
50,7155.16,0.21156,0.14904,0.80043,0.99999,1,0.995,0.99499,0.10551,0.07384,0.76083,0.008383,0.008383,0.008383
51,7298.14,0.20901,0.14802,0.79838,0.99999,1,0.995,0.99499,0.10526,0.07363,0.76078,0.00835,0.00835,0.00835
52,7441.75,0.21507,0.15108,0.79802,0.99999,1,0.995,0.99499,0.10493,0.07326,0.76072,0.008317,0.008317,0.008317
53,7584.35,0.21593,0.148,0.79922,0.99999,1,0.995,0.99499,0.10467,0.07286,0.76076,0.008284,0.008284,0.008284
54,7727.87,0.21095,0.14596,0.79725,0.99999,1,0.995,0.99499,0.10423,0.07319,0.76078,0.008251,0.008251,0.008251
55,7870.86,0.21073,0.14589,0.79837,0.99999,1,0.995,0.99499,0.10393,0.0727,0.76079,0.008218,0.008218,0.008218
56,8013.61,0.21031,0.14715,0.7992,0.99999,1,0.995,0.99499,0.10389,0.07297,0.76073,0.008185,0.008185,0.008185
57,8156.34,0.20961,0.14586,0.79778,0.99999,1,0.995,0.99499,0.10359,0.07273,0.76073,0.008152,0.008152,0.008152
58,8298.45,0.20666,0.14389,0.79669,0.99999,1,0.995,0.99499,0.10347,0.07252,0.76072,0.008119,0.008119,0.008119
59,8440.51,0.20635,0.14598,0.79787,0.99999,1,0.995,0.99499,0.10319,0.07219,0.76064,0.008086,0.008086,0.008086
60,8582.78,0.20376,0.14465,0.79855,0.99999,1,0.995,0.99499,0.10307,0.07214,0.76067,0.008053,0.008053,0.008053
61,8724.94,0.20394,0.14355,0.79854,0.99999,1,0.995,0.99499,0.103,0.07202,0.76061,0.00802,0.00802,0.00802
62,8867.75,0.20328,0.1418,0.79671,0.99999,1,0.995,0.99499,0.10296,0.07209,0.76063,0.007987,0.007987,0.007987
63,9010.74,0.2073,0.1446,0.79773,0.99999,1,0.995,0.99499,0.10282,0.07203,0.7606,0.007954,0.007954,0.007954
64,9153.52,0.20223,0.14465,0.79653,0.99999,1,0.995,0.99499,0.10283,0.07202,0.76058,0.007921,0.007921,0.007921
65,9296.44,0.19904,0.14286,0.79561,0.99999,1,0.995,0.99499,0.10263,0.07195,0.76067,0.007888,0.007888,0.007888
66,9438.46,0.20367,0.14317,0.79761,0.99999,1,0.995,0.99499,0.10234,0.07147,0.76069,0.007855,0.007855,0.007855
67,9580.74,0.2039,0.14477,0.79864,0.99999,1,0.995,0.99499,0.1023,0.07159,0.76059,0.007822,0.007822,0.007822
68,9723.05,0.20262,0.14255,0.79783,0.99999,1,0.995,0.99499,0.10223,0.07163,0.76064,0.007789,0.007789,0.007789
69,9865.28,0.20301,0.14264,0.79689,0.99999,1,0.995,0.99499,0.10218,0.07167,0.76067,0.007756,0.007756,0.007756
70,10007.5,0.19995,0.14199,0.79786,0.99999,1,0.995,0.99499,0.10208,0.0717,0.76072,0.007723,0.007723,0.007723
71,10149.8,0.19854,0.14121,0.79685,0.99999,1,0.995,0.99499,0.10204,0.07185,0.76067,0.00769,0.00769,0.00769
72,10292,0.19858,0.14071,0.79629,0.99999,1,0.995,0.99499,0.10188,0.07176,0.76063,0.007657,0.007657,0.007657
73,10434.9,0.19625,0.1413,0.79595,0.99999,1,0.995,0.99499,0.10171,0.07147,0.76063,0.007624,0.007624,0.007624
74,10578,0.19381,0.13951,0.79495,0.99999,1,0.995,0.99499,0.10158,0.07185,0.76063,0.007591,0.007591,0.007591
75,10720.3,0.19575,0.13993,0.79623,0.99999,1,0.995,0.99499,0.10137,0.07179,0.76068,0.007558,0.007558,0.007558
76,10862.3,0.19522,0.13867,0.79641,0.99999,1,0.995,0.99499,0.10121,0.07187,0.76064,0.007525,0.007525,0.007525
77,11042,0.199,0.14067,0.79624,0.99999,1,0.995,0.99499,0.10113,0.07173,0.76062,0.007492,0.007492,0.007492
78,11229.7,0.19499,0.13816,0.795,0.99999,1,0.995,0.99499,0.10085,0.07174,0.76059,0.007459,0.007459,0.007459
79,11392.1,0.19219,0.13753,0.79525,0.99999,1,0.995,0.99499,0.10057,0.07149,0.76052,0.007426,0.007426,0.007426
80,11535.3,0.19343,0.13859,0.79434,0.99999,1,0.995,0.99499,0.10029,0.07155,0.7605,0.007393,0.007393,0.007393
81,11678.3,0.19436,0.13892,0.79495,0.99999,1,0.995,0.99499,0.10017,0.07138,0.76049,0.00736,0.00736,0.00736
82,11821.2,0.1933,0.13788,0.79505,0.99999,1,0.995,0.99499,0.10018,0.07131,0.76047,0.007327,0.007327,0.007327
83,11963.6,0.19254,0.13795,0.79581,0.99999,1,0.995,0.99499,0.10032,0.07139,0.76045,0.007294,0.007294,0.007294
84,12106.6,0.19113,0.13785,0.79469,0.99999,1,0.995,0.99499,0.10038,0.07152,0.76051,0.007261,0.007261,0.007261
85,12249.2,0.19271,0.1366,0.79565,0.99999,1,0.995,0.99499,0.10034,0.07149,0.76049,0.007228,0.007228,0.007228
86,12391.8,0.19589,0.13674,0.79547,0.99999,1,0.995,0.99499,0.10037,0.0715,0.76038,0.007195,0.007195,0.007195
87,12534.9,0.19388,0.13696,0.79442,0.99999,1,0.995,0.99499,0.10031,0.0717,0.76022,0.007162,0.007162,0.007162
